Horario,Umidade,Pressao,Temperatura
21/08/1961-0000,36,901.5,22.6
21/08/1961-1200,37,889.2,23.8
21/08/1961-1800,36,901.8,24.2
22/08/1961-0000,36,901.5,22.6
22/08/1961-1200,30,888.3,24.8
22/08/1961-1800,29,888.2,27
23/08/1961-0000,27,887.8,24.6
23/08/1961-1200,56,888.3,19.8
23/08/1961-1800,29,887.5,28.7
24/08/1961-0000,51,888.2,21.4
24/08/1961-1200,49,902,22.4
24/08/1961-1800,31,901.6,28
25/08/1961-0000,30,901,24
25/08/1961-1200,40,902.2,23.2
25/08/1961-1800,21,901.2,30.7
26/08/1961-0000,41,901.6,20.9
26/08/1961-1200,30,901.9,25.6
26/08/1961-1800,17,901.6,31
27/08/1961-0000,46,901.5,21.8
27/08/1961-1200,47,888.2,22
27/08/1961-1800,25,901.2,30
28/08/1961-0000,36,901.5,23.8
28/08/1961-1200,37,902,24.4
28/08/1961-1800,29,887.5,28.6
29/08/1961-0000,47,890.2,21.4
29/08/1961-1200,43,902,22.3
29/08/1961-1800,26,901.4,28.2
30/08/1961-0000,54,901.8,20.2
30/08/1961-1200,31,888.2,22.1
30/08/1961-1800,26,901.2,29.4
31/08/1961-0000,34,887.6,23
31/08/1961-1200,35,886.8,24.3
31/08/1961-1800,24,887.5,30.1
01/09/1961-0000,41,901.5,22
01/09/1961-1200,36,889.4,24
20/09/1961-1200,29,889.1,24.4
20/09/1961-1800,18,887.6,32.4
21/09/1961-1200,26,894.4,25
22/09/1961-1200,27,887.4,26.3
22/09/1961-1800,13,883.9,32.3
23/09/1961-1200,30,902,24.1
23/09/1961-1800,19,901.2,30.2
24/09/1961-1200,59,887.1,22.2
24/09/1961-1800,14,883.8,32
25/09/1961-1200,30,881.6,26.4
25/09/1961-1800,19,874.7,30.9
26/09/1961-0000,37,883.8,22.4
26/09/1961-1200,27,901.5,26.4
26/09/1961-1800,14,884.7,31.2
27/09/1961-0000,29,883.8,23.1
27/09/1961-1200,24,897.2,26.1
27/09/1961-1800,19,885.6,30.4
28/09/1961-0000,29,884,23
28/09/1961-1200,28,887.5,26.3
28/09/1961-1800,13,901.2,32
29/09/1961-0000,22,887.4,23.2
29/09/1961-1200,27,887.6,26.4
29/09/1961-1800,17,885.6,32.3
30/09/1961-0000,26,887.6,25
30/09/1961-1200,72,887.1,19
30/09/1961-1800,29,884.4,31.3
01/10/1961-0000,37,887.5,24
01/10/1961-1200,46,889,23.3
01/10/1961-1800,29,894,31
02/10/1961-0000,52,886.4,22.1
02/10/1961-1200,52,888,23.2
02/10/1961-1800,24,887.2,30.1
03/10/1961-0000,46,883.9,22.3
03/10/1961-1200,37,887.4,24.2
03/10/1961-1800,13,885.4,30.9
04/10/1961-0000,29,885.9,23.4
04/10/1961-1200,45,889,22.3
04/10/1961-1800,15,887.9,28.2
05/10/1961-0000,25,888.4,21.2
05/10/1961-1200,53,891.5,22
05/10/1961-1800,19,886.3,29
06/10/1961-0000,33,887.5,22.2
06/10/1961-1200,42,890.3,23.2
06/10/1961-1800,26,886.6,28.2
07/10/1961-0000,41,889.1,23.2
07/10/1961-1200,45,889.2,22.9
07/10/1961-1800,25,885.1,29
08/10/1961-0000,43,886.2,22.2
08/10/1961-1200,35,886.7,24.3
08/10/1961-1800,21,885.5,28.2
09/10/1961-0000,37,886.6,22.6
09/10/1961-1200,39,887.1,23.6
09/10/1961-1800,16,883.1,30.4
10/10/1961-0000,30,884.7,22.8
10/10/1961-1200,35,886.4,24.4
10/10/1961-1800,24,882,30
11/10/1961-0000,34,885.4,24
11/10/1961-1200,61,885.4,21.4
11/10/1961-1800,48,881.9,26
12/10/1961-0000,92,885.1,17.4
12/10/1961-1200,92,888.7,18
12/10/1961-1800,74,883.8,21
13/10/1961-0000,90,886.3,17.2
13/10/1961-1200,73,887.2,20
13/10/1961-1800,44,884.3,27
14/10/1961-0000,74,886.4,19.2
14/10/1961-1200,55,886.4,23.9
14/10/1961-1800,54,884.2,25.6
15/10/1961-0000,88,886.2,18.8
15/10/1961-1200,85,888.3,19.6
16/10/1961-0000,62,885,21.8
16/10/1961-1200,58,887.6,23.8
16/10/1961-1800,41,883.9,27.6
